fecha,motivo,tipo
01-1-2024,Año Nuevo,Civil
29-3-2024,Viernes Santo,Religioso
30-3-2024,Sábado Santo,Religioso
01-5-2024,Día Nacional del Trabajo,Civil
21-5-2024,Día de las Glorias Navales,Civil
09-6-2024,Elecciones Primarias Alcaldes y Gobernadores,Civil
20-6-2024,Día Nacional de los Pueblos Indígenas,Civil
29-6-2024,San Pedro y San Pablo,Religioso
16-7-2024,Día de la Virgen del Carmen,Religioso
15-8-2024,Asunción de la Virgen,Religioso
18-9-2024,Independencia Nacional,Civil
19-9-2024,Día de las Glorias del Ejército,Civil
20-9-2024,Feriado Adicional Fiestas Patrias,Civil
12-10-2024,Encuentro de Dos Mundos,Civil
27-10-2024,"Elecciones Municipales, Consejeros Regionales y Gobernadores Regionales",Civil
31-10-2024,Día de las Iglesias Evangélicas yProtestantes,Religioso
01-11-2024,Día de Todos los Santos,Religioso
24-11-2024,Segunda Vuelta Elección Gobernadores Regionales,Civil
08-12-2024,Inmaculada Concepción,Religioso
25-12-2024,Navidad,Religioso
